"mid","source","question","option A","option B"
"2011-1","Go to System Preferences > Desktop & Screen Saver and change the settings.","Wie kann ich den Bildschirmschoner unter MAC abschalten?","<mqm:issue xml:id=""x63955"" type=""Mistranslation"" severity=""critical"" note="""" agent=""Kim Harris"">Gehen Sie zu</mqm:issue> Systemeinstellungen > <mqm:issue xml:id=""x63956"" type=""Untranslated"" severity=""null"" note="""" agent=""Kim Harris"">Desktop & Screen Saver</mqm:issue> und die Einstellungen <mqm:issue xml:id=""x63957"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">ändern</mqm:issue>.","<mqm:issue xml:id=""x63966"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x63967"" type=""Part of speech"" severity=""null"" note="""" agent=""Kim Harris"">Sprung zu</mqm:issue></mqm:issue> Systemeinstellungen > Arbeitsumgebung & Bildschirmschoner und ändern Sie die Einstellungen."
"2024-2","Click and drag the file onto the Trash icon on the Dock. Alternatively, you can select the file and press Command-Delete.","Ich weiß nicht, wie ich eine Datei auf dem MAC löschen kann.","Klicken und ziehen Sie die Datei auf das Schundicon auf dem andocken. Alternativ können Sie die Datei aus und drücken Kommandofenster löschen.","Klicken und ziehen Sie die Datei auf den Papierkorb Symbol im Dock. Alternativ können Sie die Datei auswählen und drücken Befehls-Streichen."
"2035-1","Close all programs running on the computer and try again. Alternatively, load the computer into Safe Mode and delete the files.","Ich kann eine Datei nicht löschen, weil sie von Windows verwendet wird","Schließen Sie alle Programme, die nochmals auf dem Computer und Versuch laufen. Alternativ, laden Sie die Computer in Safe Mode und die Dateien löschen.","Schließen Sie alle Programme, die es erneut auf dem Rechner und versuchen Sie es erneut. Laden Sie wahlweise den Rechner in sicheren Modus und löschen Sie die Dateien."
"2036-1","Users should not simply press the power button or restart the computer while Windows is still running unless there is an issue with the computer.","Ist es sicher, den PC auszuschalten ohne ihn herunterzufahren?","Nutzer sollten nicht einfach <mqm:issue xml:id=""x63968"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x63969"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">drücken</mqm:issue> Sie</mqm:issue> die <mqm:issue xml:id=""x63970"" type=""Untranslated"" severity=""null"" note="""" agent=""Kim Harris"">Power</mqm:issue>-Taste oder <mqm:issue xml:id=""x63971"" type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x63972"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">starten</mqm:issue> Sie</mqm:issue> den Rechner neu, während Windows <mqm:issue xml:id=""x63973"" type=""Addition"" severity=""null"" note="""" agent=""Kim Harris"">ist</mqm:issue> immer noch läuft, es sei denn, es gibt ein Problem mit dem Computer.","Benutzer sollten einfach nicht auf die <mqm:issue xml:id=""x63974"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Netzanschaltungsschaltfläche</mqm:issue> drücken oder den Rechner <mqm:issue xml:id=""x63975"" type=""Addition"" severity=""null"" note="""" agent=""Kim Harris"">nicht</mqm:issue> neu starten, während Windows noch läuft, solange <mqm:issue xml:id=""x63976"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">er</mqm:issue> <mqm:issue xml:id=""x63977"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">eine Frage</mqm:issue> mit dem Rechner gibt."
"2037-2","Double click the recycle bin icon on your desktop. Select the files you wish to recover, right click and choose restore.","Wie kann ich eine Datei aus dem Papierkorb wiederherstellen?","Doppelklicken Sie auf den <mqm:issue xml:id=""x66624"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Kastenicon</mqm:issue> in Ihrer Arbeitsumgebung <mqm:issue xml:id=""x66625"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x66626"" type=""Part of speech"" severity=""null"" note="""" agent=""Kim Harris"">wiederverwerten</mqm:issue></mqm:issue>. Wählen Sie die Dateien, die Sie <mqm:issue xml:id=""x66627"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">wiedergewinnen</mqm:issue> möchten, <mqm:issue xml:id=""x66628"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">rechts klicken</mqm:issue> und <mqm:issue xml:id=""x66629"" type=""Spelling"" severity=""null"" note="""" agent=""Kim Harris"">wiederherstellen</mqm:issue> wählen.","<mqm:issue xml:id=""x66630"" type=""Part of speech"" severity=""null"" note="""" agent=""Kim Harris"">Doppelklick</mqm:issue> der <mqm:issue xml:id=""x66631"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Kastenicon</mqm:issue> auf Ihrem Desktop <mqm:issue xml:id=""x66632"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">wiederverwerten</mqm:issue>. Wählen Sie die Dateien, <mqm:issue xml:id=""x66633"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x66634"" type=""Grammar"" severity=""null"" note="""" agent=""Kim Harris"">die Sie wünschen, sich zu erholen</mqm:issue></mqm:issue>, mit der rechten Maustaste und wählen Sie <mqm:issue xml:id=""x66635"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">wieder</mqm:issue>."
"2040-2","No spaces are allowed in an e-mail address. However, names can be broken up using a period.","Sind Leerzeichen in E-Mail Adressen erlaubt?","<mqm:issue xml:id=""x66636"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">Keine</mqm:issue> Leerzeichen <mqm:issue xml:id=""x66637"" type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""Kim Harris"">werden</mqm:issue> in einer E-Mail-Adresse<mqm:issue xml:id=""x66638"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>erlaubt. Es können jedoch Namen mithilfe <mqm:issue xml:id=""x66639"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">eines Zeitraums</mqm:issue> <mqm:issue xml:id=""x66640"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">abgebrochen werden</mqm:issue>.","<mqm:issue xml:id=""x66641"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">Keine</mqm:issue> Leerzeichen sind<mqm:issue xml:id=""x66642"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>erlaubt in einer E-Mail-Adresse. Namen <mqm:issue xml:id=""x66643"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">durchbrochen</mqm:issue> werden <mqm:issue xml:id=""x66644"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">kann</mqm:issue>, <mqm:issue xml:id=""x66645"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">aber</mqm:issue> mit <mqm:issue xml:id=""x66646"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">einem Zeitraum</mqm:issue>."
"2043-1","Go to the website of the manufacturers and search for the model of you printer. You will able to locate the corresponding drivers.","Ich meinen Drucker-Installations-CD verloren, wie kann ich meinen Drucker installieren?","Auf der Website der Hersteller und Suche nach dem Modell von Ihnen Drucker. Sie können die entsprechenden Treiber.","Gehen Sie zur Website <mqm:issue xml:id=""x66647"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">der Hersteller</mqm:issue> und suchen Sie nach dem Modell von <mqm:issue xml:id=""x66648"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">Ihnen</mqm:issue> Drucker. <mqm:issue xml:id=""x66649"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Sie können, wechselt </mqm:issue>die entsprechenden Treiber zu suchen."
"2046-1","Right-click My Computer. Then Properties > Computer Name. If you wish to change the name or workgroup, click the Change button.","Wie kann ich den Namen meines Computers ändern?","Klicken Sie mit der rechten Maustaste Version verwenden.Mit. Dann Eigenschaften > Computer Name. Wenn Sie den Namen oder workgroup verändern wollen, klicken Sie die Änderungs-Schaltfläche an.","Recht-Klick Mein Computer. Dann Eigenschaften > Rechner-Name. Wenn Sie den Namen oder workgroup ändern wollen, klicken Sie die Schaltfläche ändern."
"2049-2","Formatting the hard disk will almost always remove any type of virus. However, if you have a backup of the disk, this may contain the virus.","Wenn ich meine Festplatte lösche oder formatiere, entfernt das einen Virus?","Die Festplatte zu formatieren wird fast immer <mqm:issue xml:id=""x66650"" type=""Incorrect function word"" severity=""null"" note=""Source is missing a word"" agent=""Kim Harris"">einen</mqm:issue> Art von Virus entfernen. Wenn Sie <mqm:issue xml:id=""x66651"" type=""Agreement"" severity=""null"" note="""" agent=""Kim Harris"">einen</mqm:issue> Sicherung von der Festplatte besitzen, kann <mqm:issue xml:id=""x66652"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris"">dies</mqm:issue> jedoch das Virus enthalten.","<mqm:issue xml:id=""x66653"" type=""Missing function word"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>Formatierung der Festplatte wird fast immer jede Art von Virus entfernen. Wenn Sie jedoch ein Backup der Festplatte haben, <mqm:issue xml:id=""x66654"" type=""Incorrect function word"" severity=""null"" note="""" agent=""Kim Harris""><mqm:issue xml:id=""x66655"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">dies</mqm:issue> </mqm:issue>kann das Virus enthalten."
"2050-1","Go to Tools and then choose 'Delete browsing history..', you can then choose to delete your Internet cookies.","Wie lösche ich Internet Cookies?","<mqm:issue xml:id=""x66656"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Gehen Sie zu</mqm:issue> <mqm:issue xml:id=""x66661"" type=""Untranslated"" severity=""null"" note="""" agent=""Kim Harris"">Tools</mqm:issue> und wählen Sie dann <mqm:issue xml:id=""x66657"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Browsingchronik</mqm:issue> <mqm:issue xml:id=""x66658"" type=""Part of speech"" severity=""null"" note="""" agent=""Kim Harris"">Löschen</mqm:issue>.., <mqm:issue xml:id=""x66659"" type=""Word order"" severity=""null"" note="""" agent=""Kim Harris"">können</mqm:issue> Sie dann <mqm:issue xml:id=""x66660"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">vorziehen</mqm:issue>, Ihre Internet-Cookies zu löschen.","<mqm:issue xml:id=""x66662"" type=""Mistranslation"" severity=""null"" note="""" agent=""Kim Harris"">Sprung zu</mqm:issue> Extras und wählen Sie dann Browserverlauf löschen,..<mqm:issue xml:id=""x66663"" type=""Typography"" severity=""null"" note="""" agent=""Kim Harris"">,</mqm:issue> Sie können dann<mqm:issue xml:id=""x66664"" type=""Omission"" severity=""null"" note="""" agent=""Kim Harris""> </mqm:issue>Ihre Internet-Cookies löschen."
